"Unique Identifier","Agenda Number","Meeting","Meeting Date","Category","Awaiting Report","Policy Order","Charter Right","Outcome","Vote","Type of Vote","E. Denise Simmons","Marc C. McGovern","Burhan Azeem","Patricia Nolan","Sumbul Siddiqui","Paul F. Toner","Ayesha M. Wilson","Jivan Sobrinho-Wheeler","Catherine Zusy","Yeas","Nays","Present","Absent","Link","Summary"
"CMA 2025 #2","2","2025-01-06 Regular","45663","Appropriation","","","Patricia Nolan","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26953&CssClass=","Appropriation of $2,500,000, from Free Cash, to the Finance Department Other Ordinary Maintenance account ($1,500,000), and to the Finance Department Extraordinary Expenditures account ($1,000,000), to support the continued operation and needed capital and equipment improvements to Neville Center, a 5-star skilled nursing facility with 112 beds, which is part of Neville Communities Inc."
"CMA 2025 #3","3","2025-01-06 Regular","45663","Appropriation","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26950&CssClass=","Appropriation of $10,000, to the Grant Fund Library Other Ordinary Maintenance account. Funds will support digital learning classes through FY25, including though the procurement of translators and Chromebooks. Classes will cover 8 specific topics developed by PLA and implemented at Main with other branch locations to be determined."
"CMA 2025 #4","4","2025-01-06 Regular","45663","Appropriation","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26951&CssClass=","Appropriation of $4,000 to the Grant Fund Library Other Ordinary Maintenance account. Funds will support digital navigator classes through FY25, including though the procurement of translators and Chromebooks. Digital Navigators will offer techhelp and will use content from 8 specifics topics developed by PLA."
"CMA 2025 #5","5","2025-01-06 Regular","45663","Appointment","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26957&CssClass=","the appointments and reappointment's of members to the Citizens’ Committee on Civic Unity."
"CMA 2025 #6","6","2025-01-06 Regular","45663","Appropriation","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26952&CssClass=","Appropriation of $6,000.00 received from the Massachusetts Department of Environmental Protection (MassDEP) to the Grant Fund Public Works Other Ordinary Maintenance account to pilot initiatives to reduce move-out waste during the May/June 2025 moving season. The grant program is meant to provide municipalities, nonprofits, and other entities with seed funding for initiatives that may have potential for long-term waste reduction."
"CMA 2025 #7","7","2025-01-06 Regular","45663","Awaiting Report Response","AR-24-65","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","no","yes","yes","no","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler","Paul F. Toner, Catherine Zusy","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26958&CssClass=","Awaiting Report Item Number 24-65, regarding the creation of a jobs training trust through Home Rule Petition."
"CMA 2025 #8","8","2025-01-06 Regular","45663","Communication","","","","","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","no","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler","Catherine Zusy","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26959&CssClass=","the Planning Board Report regarding citywide Multifamily Housing Zoning Petitions."
"CMA 2025 #12","1","2025-01-27 Regular","45684","Communication","","","","Placed on File","","Roll Call","absent","yes","yes","yes","yes","yes","yes","yes","yes","Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","E. Denise Simmons","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27116&CssClass=","the reappointment of Ronald DiGiorgio as a Constable for a term of three years."
"CMA 2025 #13","2","2025-01-27 Regular","45684","Appointment","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27112&CssClass=","the appointments and reappointments of members to the Transit Advisory Committee."
"CMA 2025 #14","3","2025-01-27 Regular","45684","Awaiting Report Response","","POR 2024 #154","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27136&CssClass=","Policy Order Number 2024 #154, regarding the City’s Sanctuary/Trust Act City status, the protections provided by the 2020 Welcoming Community Ordinance, and the importance of ensuring non-citizens are treated with dignity and respect."
"CMA 2025 #15","4","2025-01-27 Regular","45684","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27140&CssClass=","an update on negotiations with Harvard University regarding PILOT payments"
"CMA 2025 #16","5","2025-01-27 Regular","45684","Communication","","","","Referred","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27122&CssClass=","an updated drought regulation ordinance."
"CMA 2025 #17","6","2025-01-27 Regular","45684","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27124&CssClass=","changes in the Animal Commission ordinance regarding a fee increase."
"CMA 2025 #18","7","2025-01-27 Regular","45684","Awaiting Report Response","AR-24-54","","","Referred","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27139&CssClass=","Awaiting Report Item Number 24-54 , regarding a review of Curb Cut Policies"
"CMA 2025 #19","8","2025-01-27 Regular","45684","Awaiting Report Response","AR-24-31","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27135&CssClass=","Awaiting Report Item Number 24-31  regarding an update to the Municipal Facilities Improvement Plan (MFIP)
"
"CMA 2025 #20","9","2025-01-27 Regular","45684","Awaiting Report Response","AR-24-60","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27125&CssClass=","Awaiting Report Item Number 24-60  regarding grant funding through Pathways to Removing Obstacles to Housing (PRO Housing)."
"CMA 2025 #21","10","2025-01-27 Regular","45684","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27141&CssClass=","Potential amendments to required setbacks for additions and alterations to existing buildings in the Multifamily Housing Zoning Petitions."
"CMA 2025 #9","1","2025-02-03 Regular","45691","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4633&MediaPosition=&ID=27096&CssClass=","a Surveillance Technology Impact Report (STIR)."
"CMA 2025 #10","2","2025-02-03 Regular","45691","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4633&MediaPosition=&ID=27097&CssClass=","a Surveillance Technology Impact Report (STIR)."
"CMA 2025 #11","3","2025-02-03 Regular","45691","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4633&MediaPosition=&ID=27113&CssClass=","a Surveillance Technology Impact Report (STIR)."
"CMA 2025 #22","4","2025-02-03 Regular","45691","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4633&MediaPosition=&ID=27161&CssClass=","the naming of new private way to South William Way."
"CMA 2025 #23","5","2025-02-03 Regular","45691","Awaiting Report Response","AR-24-69","POR 2024 #151","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4633&MediaPosition=&ID=27314&CssClass=","Awaiting Report Item Number 24-69  regarding asbestos concerns with the MBTA's Alewife construction."
"CMA 2025 #24","6","2025-02-03 Regular","45691","Appropriation","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4633&MediaPosition=&ID=27156&CssClass=","Appropriation of of $65,000.00 to be allocated to the Grant Fund Public Celebrations Other Ordinary Maintenance Account. This grant will support activities focused on the themes of revolution and independence, celebrating the significant historical milestones that have taken place in Cambridge."
"CMA 2025 #25","7","2025-02-03 Regular","45691","Appointment","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4633&MediaPosition=&ID=27320&CssClass=","the appointment of members of the Broadway Street Safety Improvement Project Working Group."
"CMA 2025 #26","1","2025-02-10 Regular","45698","Communication","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4634&MediaPosition=&ID=27428&CssClass=","the Cambridge Natural Hazard Mitigation Plan final adoption."
"CMA 2025 #27","1","2025-03-03 Regular","45719","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=27763&CssClass=","an update regarding Federal funding."
"CMA 2025 #28","2","2025-03-03 Regular","45719","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=27765&CssClass="," a recommendation that in accordance with the requirements of the Massachusetts School Building Authority (MSBA), the Cambridge City Council adopt an order for the Statement of Interest Form for the replacement of the Cambridgeport School building roof."
"CMA 2025 #29","3","2025-03-03 Regular","45719","Communication","","","","Placed on File","","Roll Call","absent","yes","yes","yes","yes","yes","yes","yes","yes","Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","E. Denise Simmons","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=27780&CssClass=","an update on Supplier Diversity."
"CMA 2025 #30","4","2025-03-03 Regular","45719","Appointment","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=27762&CssClass=","the appointment of David Freilach, Rachel Dowley Alexander, and Chris Herlich as members and the reappointment of Kai Alexis Smith as a member of the Public Art Commission for a term of three years."
"CMA 2025 #31","5","2025-03-03 Regular","45719","Awaiting Report Response","AR-24-63","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=27782&CssClass=","Awaiting Report Item Number 24-63  regarding recognizing and honoring the Massachusett Tribe."
"CMA 2025 #32","6","2025-03-03 Regular","45719","Communication","","","","Roll Call","","Roll Call","absent","yes","yes","yes","yes","yes","yes","yes","yes","Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","E. Denise Simmons","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=27781&CssClass=","changes in the Clerk Department ordinance regarding a fee increase."
"CMA 2025 #34","7","2025-03-03 Regular","45719","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=27786&CssClass="," a request to move to Executive Session to discuss the purchase of real property, off Cambridge/Concord Turnpike in Lincoln, Massachusetts, near the Hobbs Brook Reservoir. Discussing this matter in an open session may have a detrimental effect on the negotiating position of the City."
